stargazers_count,pushed_days_ago,created_days_ago,count_files,commits,ql,count_developers,count_methods,forks_count,origin,address,default_branch,updated_days_ago,exception,files,methods,is_sparql,n_sha_query,active_developers,active_files,active_methods,query_activity,query_commits
0,5,1157,1641.0,553.0,sparql,1.0,7482.0,1,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,THLfi/termed-api,master,57,,1641.0,7482.0,1,,0.0,0.0,0.0,0.0,0.0
0,686,800,44.0,29.0,sparql,2.0,300.0,0,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,semihyumusak/SpEnD_Service,master,800,,44.0,300.0,1,1.0,1.0,0.0,1.0,0.034482758620689655,1.0
0,2196,1430,2129.0,117.0,cypher,2.0,525.0,4,org.neo4j+neo4j-filename:pom.xml,jnirty/try-it-out,master,1001,,2129.0,525.0,0,,0.0,0.0,0.0,0.0,0.0
1,1595,1595,5.0,2.0,cypher,1.0,11.0,0,org.neo4j+neo4j-extension:gradle,tahmidNabi/neo4j-spring-data-app,master,1282,,5.0,11.0,0,,0.0,0.0,0.0,0.0,0.0
4,909,975,91.0,8.0,cypher,1.0,54.0,8,org.neo4j+neo4j-filename:pom.xml,mr-csj/neo4j-useapi,master,384,,91.0,54.0,0,2.0,1.0,0.0,2.0,0.25,2.0
1,475,475,17.0,3.0,sparql,1.0,88.0,0,org.eclipse.rdf4j+rdf4j-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,sparna-git/jena-repository,master,55,,17.0,88.0,1,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
0,1,58,256.0,204.0,sparql,4.0,263.0,0,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,dfsantamaria/ProfOnto,master,1,,256.0,263.0,1,44.0,2.0,11.0,2.0,0.21568627450980393,44.0
0,511,553,286.0,16.0,sparql,4.0,57.0,0,org.openrdf.sesame+sesame-filename:pom.xml & org.eclipse.rdf4j+rdf4j-filename:pom.xml,arg3s/ZTI_RDF_BENCHMARKING,master,80,,286.0,57.0,1,2.0,1.0,17.0,2.0,0.125,2.0
0,343,418,93.0,9.0,sparql,2.0,164.0,0,org.apache.jena+jena-filename:pom.xml,librairy/topic-labelling,master,343,,93.0,164.0,1,1.0,1.0,0.0,2.0,0.1111111111111111,1.0
0,652,721,245.0,23.0,sparql,3.0,573.0,1,org.apache.jena+jena-filename:pom.xml,mas-boun/prinego,master,721,,245.0,573.0,1,,0.0,0.0,0.0,0.0,0.0
